total secs nthreads
10000000.000000 0.038464 1
10000000.000000 0.042974 2
10000000.000000 0.046292 3
10000000.000000 0.038617 4
10000000.000000 0.037294 5
10000000.000000 0.036789 6
10000000.000000 0.040864 7
10000000.000000 0.035828 8
10000000.000000 0.040738 9
10000000.000000 0.048704 10
10000000.000000 0.036053 11
10000000.000000 0.037621 12
10000000.000000 0.036657 13
10000000.000000 0.035577 14
10000000.000000 0.036611 15
10000000.000000 0.039978 16
