total secs nthreads
20000000.000000 0.074849 1
20000000.000000 0.071614 2
20000000.000000 0.077213 3
20000000.000000 0.077133 4
20000000.000000 0.083093 5
20000000.000000 0.122504 6
20000000.000000 0.111444 7
20000000.000000 0.095475 8
20000000.000000 0.095625 9
20000000.000000 0.095640 10
20000000.000000 0.083958 11
20000000.000000 0.089119 12
20000000.000000 0.085067 13
20000000.000000 0.086778 14
20000000.000000 0.102186 15
20000000.000000 0.090847 16
